"Sample","chr1R","chr2R","chr3R","chr4R","chr5R","chr6R","chr7R","chrB","mean_A_cov","ratio_B_cov"
"3400613_NF_EG_24_66_S1_L001_R1_001_trim",0.418444,0.430502,0.407798,0.477261,0.436027,0.500444,0.458217,0.0112352,0.446956142857143,0.0251371419311514
"3400614_NF_EG_24_9_S2_L001_R1_001_trim",0.513875,0.526028,0.513077,0.588736,0.537785,0.601834,0.535904,0.0138623,0.545319857142857,0.0254204937128642
"3400615_NF_EG_24_23_S3_L001_R1_001_trim",0.447394,0.452601,0.412842,0.494799,0.42781,0.502399,0.464271,0.0128342,0.457445142857143,0.028056260297878
"3400616_NF_EG_24_35_S4_L001_R1_001_trim",0.437331,0.452288,0.425068,0.502532,0.453254,0.52481,0.451161,0.0117067,0.463777714285714,0.0252420494547265
"3400617_NF_EG_24_47_S5_L001_R1_001_trim",0.493642,0.509953,0.491624,0.566225,0.505712,0.580461,0.528134,0.0120701,0.525107285714286,0.0229859693978183
"3400618_NF_EG_24_64_S6_L001_R1_001_trim",0.389347,0.411743,0.38093,0.445598,0.412335,0.462667,0.422309,0.010262,0.417847,0.0245592286171733
"3400619_NF_EG_24_78_S7_L001_R1_001_trim",0.452744,0.476857,0.438392,0.511715,0.477495,0.531504,0.460757,0.0136354,0.478494857142857,0.0284964400274193
"3400620_NF_EG_24_90_S8_L001_R1_001_trim",0.554783,0.587287,0.567648,0.645243,0.579989,0.649435,0.58382,0.0130702,0.595457857142857,0.0219498321219806
"3400621_NF_EG_24_71_S9_L001_R1_001_trim",0.343996,0.355136,0.344262,0.38492,0.354281,0.411806,0.350308,0.0101254,0.363529857142857,0.0278530079470776
"3400622_NF_EG_24_10_S10_L001_R1_001_trim",0.43656,0.447573,0.443681,0.494823,0.440898,0.498818,0.450641,0.00959005,0.458999142857143,0.0208933941364347
"3400623_NF_EG_24_24_S11_L001_R1_001_trim",0.440794,0.43845,0.42169,0.476468,0.433933,0.497711,0.437104,0.0107569,0.44945,0.023933474246301
"3400624_NF_EG_24_36_S12_L001_R1_001_trim",0.62604,0.620282,0.647595,0.681112,0.641876,0.71401,0.648565,0.0145043,0.654211428571429,0.0221706612977893
"3400625_NF_EG_24_48_S13_L001_R1_001_trim",0.402127,0.425218,0.401314,0.469115,0.43161,0.482637,0.43301,0.0116013,0.435004428571429,0.0266693836614471
"3400626_NF_EG_24_65_S14_L001_R1_001_trim",0.419964,0.438434,0.421852,0.483549,0.436989,0.504547,0.447084,0.014282,0.450345571428571,0.0317134238817873
"3400628_NF_EG_24_91_S15_L001_R1_001_trim",0.489901,0.522002,0.505369,0.599976,0.521698,0.590776,0.538146,0.0125423,0.538266857142857,0.0233012674541677
"3400629_NF_EG_24_73_S16_L001_R1_001_trim",0.384632,0.372153,0.35967,0.412084,0.373268,0.42873,0.37246,0.0103083,0.386142428571429,0.0266955901171921
"3400630_NF_EG_24_11_S17_L001_R1_001_trim",0.461652,0.462595,0.449487,0.528652,0.469626,0.536197,0.465661,0.0134983,0.481981428571429,0.0280058508478394
"3400631_NF_EG_24_25_S18_L001_R1_001_trim",0.424212,0.427157,0.410356,0.460484,0.422979,0.49205,0.430285,0.0113409,0.438217571428571,0.0258796103566298
