"Sample","chr1R","chr2R","chr3R","chr4R","chr5R","chr6R","chr7R","chrB","mean_A_cov","ratio_B_cov"
"3019188_R_47_DIV_22_1_S12_L001_R1_001",0.235035,0.208711,0.194767,0.24016,0.230793,0.252808,0.224192,0.00703857,0.226638,0.0310564424324253
"3019189_R_100_DIV_22_1_S24_L001_R1_001",0.346533,0.356731,0.336279,0.388621,0.348619,0.383075,0.34834,0.00871535,0.358314,0.0243232192992738
"3019190_R_193_DIV_22_1_S36_L001_R1_001",0.3534,0.351713,0.340132,0.376698,0.348046,0.395872,0.345753,0.00893577,0.358802,0.024904459841361
"3019191_R_240_DIV_22_1_S48_L001_R1_001",0.300383,0.302214,0.293994,0.339336,0.303582,0.350247,0.30254,0.00807201,0.313185142857143,0.0257739237767163
"3019192_R_280_DIV_22_1_S60_L001_R1_001",0.295169,0.286416,0.262382,0.318557,0.291156,0.306493,0.283717,0.0106991,0.291984285714286,0.0366427253912882
"3019193_R_612_DIV_22_6_S72_L001_R1_001",0.330458,0.34986,0.313325,0.380645,0.329288,0.397498,0.349089,0.0103793,0.350023285714286,0.0296531700135868
"3019194_R_944_DIV_22_5_S83_L001_R1_001",0.32303,0.318282,0.29096,0.354719,0.329465,0.362533,0.324101,0.00956934,0.329012857142857,0.0290850031913646
"3019195_R_34_DIV_22_1_S1_L001_R1_001",0.291767,0.320255,0.291194,0.358734,0.298996,0.343124,0.31327,0.00805968,0.316762857142857,0.025443892231232
"3019196_R_47_DIV_22_2_S13_L001_R1_001",0.281783,0.277759,0.26319,0.326488,0.293242,0.321749,0.282719,0.00773382,0.292418571428571,0.0264477730064047
"3019197_R_100_DIV_22_2_S25_L001_R1_001",0.332435,0.330236,0.315737,0.359355,0.336325,0.377844,0.330852,0.00897697,0.340397714285714,0.0263720043444979
"3019198_R_193_DIV_22_2_S37_L001_R1_001",0.319609,0.321558,0.314073,0.360574,0.325644,0.3649,0.331871,0.00784368,0.334032714285714,0.0234817718880401
"3019199_R_240_DIV_22_2_S49_L001_R1_001",0.318765,0.300129,0.288343,0.333523,0.311069,0.361525,0.303947,0.00808109,0.316757285714286,0.025511930946678
"3019200_R_280_DIV_22_2_S61_L001_R1_001",0.248006,0.244786,0.221328,0.266538,0.245428,0.274441,0.253972,0.00934356,0.250642714285714,0.0372784025525235
"3019201_R_937_DIV_22_1_S73_L001_R1_001",0.245784,0.249976,0.237793,0.287543,0.243789,0.301217,0.270934,0.00778176,0.262433714285714,0.0296522877069366
"3019202_R_944_DIV_22_6_S84_L001_R1_001",0.362504,0.358998,0.332042,0.39536,0.362122,0.403107,0.352891,0.010282,0.366717714285714,0.0280379147214829
"3019203_R_34_DIV_22_2_S2_L001_R1_001",0.250392,0.23924,0.21245,0.258775,0.242287,0.267653,0.239656,0.00716915,0.244350428571429,0.0293396252337831
"3019204_R_47_DIV_22_3_S14_L001_R1_001",0.297349,0.306734,0.282708,0.341025,0.309709,0.326542,0.301311,0.00806247,0.309339714285714,0.0260634817569958
"3019205_R_100_DIV_22_3_S26_L001_R1_001",0.307649,0.299943,0.302918,0.346482,0.312056,0.358713,0.306226,0.00814231,0.319141,0.0255132057617166
"3019206_R_193_DIV_22_3_S38_L001_R1_001",0.344723,0.342333,0.335229,0.400559,0.349647,0.402559,0.361803,0.00919925,0.362407571428571,0.025383713601064
"3019207_R_240_DIV_22_3_S50_L001_R1_001",0.345728,0.344006,0.296235,0.36475,0.337549,0.381136,0.350267,0.00838181,0.345667285714286,0.0242482015116931
"3019208_R_280_DIV_22_3_S62_L001_R1_001",0.317857,0.312063,0.289567,0.338228,0.308441,0.357071,0.313492,0.0108076,0.319531285714286,0.033823292063062
"3019209_R_937_DIV_22_2_S74_L001_R1_001",0.309111,0.320665,0.302953,0.378023,0.329276,0.363796,0.333713,0.00905564,0.333933857142857,0.0271180648691336
"3019210_R_1027_DIV_22_1_S85_L001_R1_001",0.37643,0.383402,0.36525,0.426591,0.378686,0.431839,0.389238,0.0121755,0.393062285714286,0.0309760067106776
"3019211_R_34_DIV_22_3_S3_L001_R1_001",0.294598,0.303605,0.267064,0.345121,0.31103,0.3456,0.316808,0.00779131,0.311975142857143,0.0249741371336361
"3019212_R_47_DIV_22_4_S15_L001_R1_001",0.235125,0.233375,0.212424,0.255428,0.227523,0.252546,0.22618,0.00611779,0.234657285714286,0.0260711700528613
"3019213_R_100_DIV_22_4_S27_L001_R1_001",0.297469,0.309596,0.287823,0.332348,0.307231,0.351948,0.303712,0.00827079,0.312875285714286,0.0264347820925453
"3019214_R_193_DIV_22_4_S39_L001_R1_001",0.382886,0.361627,0.344473,0.399021,0.361438,0.409994,0.374252,0.00875632,0.376241571428571,0.0232731326491984
"3019215_R_240_DIV_22_4_S51_L001_R1_001",0.292974,0.271393,0.254271,0.30105,0.272651,0.328583,0.278114,0.00733278,0.285576571428571,0.0256771063652681
"3019216_R_280_DIV_22_4_S63_L001_R1_001",0.328172,0.325271,0.305599,0.346415,0.325748,0.370402,0.329462,0.0115829,0.333009857142857,0.0347824538870364
"3019217_R_937_DIV_22_3_S75_L001_R1_001",0.398758,0.386388,0.380515,0.438003,0.387205,0.467566,0.39639,0.0110965,0.407832142857143,0.0272084978939164
"3019218_R_1027_DIV_22_2_S86_L001_R1_001",0.299903,0.302396,0.275168,0.335946,0.299574,0.352647,0.306563,0.0110643,0.310313857142857,0.0356551914950624
"3019219_R_34_DIV_22_4_S4_L001_R1_001",0.337194,0.311525,0.304428,0.36417,0.317614,0.363969,0.330976,0.008413,0.332839428571429,0.0252764524807329
"3019220_R_47_DIV_22_5_S16_L001_R1_001",0.344547,0.351909,0.354271,0.370299,0.360262,0.384101,0.355346,0.00865507,0.360105,0.0240348509462518
"3019221_R_100_DIV_22_5_S28_L001_R1_001",0.279006,0.297725,0.267728,0.31719,0.295058,0.330325,0.286927,0.00803035,0.296279857142857,0.0271039350343956
"3019222_R_193_DIV_22_5_S40_L001_R1_001",0.309718,0.32039,0.316785,0.362773,0.319233,0.365809,0.327278,0.00900909,0.331712285714286,0.0271593497979747
"3019223_R_240_DIV_22_5_S52_L001_R1_001",0.361445,0.364886,0.337161,0.393169,0.363682,0.406031,0.357318,0.00924976,0.369098857142857,0.0250603864547322
"3019224_R_280_DIV_22_5_S64_L001_R1_001",0.314819,0.306861,0.270071,0.334905,0.293987,0.359701,0.307127,0.0124302,0.312495857142857,0.0397771673315898
"3019225_R_937_DIV_22_4_S76_L001_R1_001",0.380886,0.370243,0.359482,0.406582,0.333473,0.404297,0.400122,0.0113495,0.379297857142857,0.0299223941983025
"3019226_R_1027_DIV_22_3_S87_L001_R1_001",0.405307,0.41259,0.380502,0.440371,0.395181,0.453236,0.41241,0.0132599,0.414228142857143,0.0320111036119847
"3019227_R_34_DIV_22_5_S5_L001_R1_001",0.271814,0.260693,0.239439,0.312561,0.278197,0.2991,0.277398,0.00681513,0.277028857142857,0.024600794553636
"3019228_R_47_DIV_22_6_S17_L001_R1_001",0.308053,0.309766,0.302309,0.348324,0.321624,0.356522,0.29994,0.00811996,0.320934,0.0253010276256177
"3019229_R_100_DIV_22_6_S29_L001_R1_001",0.318166,0.327137,0.3244,0.362971,0.332019,0.375458,0.343041,0.00836924,0.340456,0.0245824423714078
"3019230_R_193_DIV_22_6_S41_L001_R1_001",0.385559,0.385712,0.362206,0.416522,0.360604,0.430692,0.372731,0.00886013,0.387718,0.0228519955225189
"3019231_R_240_DIV_22_6_S53_L001_R1_001",0.32901,0.320237,0.294578,0.351894,0.327739,0.368468,0.306662,0.00936195,0.328369714285714,0.0285103942072264
"3019232_R_280_DIV_22_6_S65_L001_R1_001",0.306825,0.308788,0.267338,0.316985,0.321127,0.33871,0.282492,0.0100113,0.306037857142857,0.0327126195872126
"3019233_R_937_DIV_22_5_S77_L001_R1_001",0.389775,0.407367,0.375664,0.441813,0.410031,0.463931,0.410755,0.0107664,0.414190857142857,0.0259938137559772
"3019234_R_1027_DIV_22_4_S88_L001_R1_001",0.377567,0.387125,0.350695,0.426932,0.381559,0.441003,0.384704,0.0135209,0.392797857142857,0.0344220309610359
"3019235_R_34_DIV_22_6_S6_L001_R1_001",0.31043,0.303252,0.295652,0.356656,0.32137,0.359868,0.320681,0.00797658,0.323987,0.0246200619160645
"3019236_R_93_DIV_22_1_S18_L001_R1_001",0.287226,0.294244,0.272253,0.325788,0.293025,0.338387,0.308045,0.0077927,0.302709714285714,0.0257431447761363
"3019237_R_191_DIV_22_1_S30_L001_R1_001",0.290462,0.30116,0.285194,0.334321,0.308074,0.338639,0.306672,0.00793189,0.309217428571429,0.0256514971896798
"3019238_R_233_DIV_22_1_S42_L001_R1_001",0.360845,0.368169,0.334936,0.389663,0.355912,0.40749,0.366873,0.0108542,0.369126857142857,0.0294050670926913
"3019239_R_242_DIV_22_1_S54_L001_R1_001",0.347482,0.338501,0.331136,0.385553,0.332496,0.388953,0.353557,0.00974251,0.353954,0.027524791357069
"3019240_R_612_DIV_22_1_S66_L001_R1_001",0.285307,0.26899,0.268216,0.324977,0.287853,0.333781,0.29268,0.00846165,0.294543428571429,0.0287280216742232
"3019241_R_937_DIV_22_6_S78_L001_R1_001",0.397514,0.401609,0.377594,0.464403,0.357039,0.46176,0.405371,0.0128151,0.409327142857143,0.0313077210334731
"3019242_R_1027_DIV_22_5_S89_L001_R1_001",0.388603,0.395736,0.351212,0.448938,0.381428,0.457595,0.395303,0.0132034,0.402687857142857,0.0327881751729007
"3019243_R_36_DIV_22_1_S7_L001_R1_001",0.307285,0.288456,0.295839,0.328927,0.318637,0.351597,0.305022,0.00888038,0.313680428571429,0.0283102775663858
"3019244_R_93_DIV_22_2_S19_L001_R1_001",0.310546,0.307411,0.291762,0.330916,0.313798,0.35302,0.306526,0.00855801,0.316282714285714,0.0270581021771209
"3019245_R_191_DIV_22_2_S31_L001_R1_001",0.296453,0.286671,0.26199,0.343446,0.310344,0.337364,0.305721,0.00917342,0.305998428571429,0.0299786506840138
"3019246_R_233_DIV_22_2_S43_L001_R1_001",0.337819,0.332439,0.312717,0.367726,0.330602,0.374621,0.330717,0.00978766,0.340948714285714,0.0287071327443047
"3019247_R_242_DIV_22_2_S55_L001_R1_001",0.377526,0.391545,0.230908,0.42353,0.371148,0.443134,0.399394,0.0109494,0.376740714285714,0.0290634900471526
"3019248_R_612_DIV_22_2_S67_L001_R1_001",0.340134,0.372854,0.345006,0.402336,0.367323,0.417675,0.365205,0.00921275,0.372933285714286,0.0247034800939119
"3019249_R_944_DIV_22_1_S79_L001_R1_001",0.399874,0.405768,0.397059,0.469872,0.405344,0.46341,0.420782,0.0111311,0.423158428571429,0.0263048051236467
"3019250_R_1027_DIV_22_6_S90_L001_R1_001",0.386433,0.406571,0.360659,0.422554,0.386601,0.457165,0.390565,0.0119139,0.401506857142857,0.0296729676917099
