"Sample","chr1R","chr2R","chr3R","chr4R","chr5R","chr6R","chr7R","chrB","mean_A_cov","ratio_B_cov"
"3234905_NF_EG_23_1_S1_L001_R1_001_trim",0.384578,0.3888,0.380835,0.439209,0.392485,0.447471,0.413874,0.00904447,0.406750285714286,0.0222359278349791
"3234906_NF_EG_23_14_S13_L001_R1_001_trim",0.363823,0.383037,0.347654,0.434203,0.368215,0.425805,0.383248,0.0111216,0.386569285714286,0.0287700042683163
"3234907_NF_EG_23_27_S25_L001_R1_001_trim",0.390983,0.381208,0.355835,0.417996,0.384159,0.43632,0.398017,0.0107483,0.394931142857143,0.0272156303558161
"3234908_NF_EG_23_39_S37_L001_R1_001_trim",0.320077,0.288804,0.27969,0.338484,0.308704,0.332212,0.300575,0.00896859,0.309792285714286,0.0289503335414605
"3234909_NF_EG_23_53_S48_L001_R1_001_trim",0.293901,0.286789,0.275134,0.323208,0.290108,0.337092,0.290291,0.0072946,0.299503285714286,0.0243556593464512
"3234910_NF_EG_23_77_S60_L001_R1_001_trim",0.324399,0.323327,0.307927,0.358719,0.335687,0.378876,0.333012,0.00872071,0.337421,0.0258451904297599
"3234911_NF_EG_23_93_S72_L001_R1_001_trim",0.374394,0.392225,0.369504,0.431655,0.373378,0.432407,0.381386,0.0120666,0.393564142857143,0.0306598053176302
"3234912_NF_EG_23_105_S83_L001_R1_001_trim",0.335478,0.360948,0.313746,0.388394,0.341505,0.403402,0.34809,0.0113141,0.355937571428571,0.0317867539371872
"3234913_NF_EG_23_2_S2_L001_R1_001_trim",0.308412,0.310976,0.281844,0.346086,0.312437,0.354756,0.312138,0.011329,0.318092714285714,0.035615402337773
"3234914_NF_EG_23_15_S14_L001_R1_001_trim",0.24628,0.24051,0.224817,0.269436,0.237887,0.279781,0.244935,0.00867788,0.249092285714286,0.0348380118441473
"3234915_NF_EG_23_28_S26_L001_R1_001_trim",0.2392,0.229868,0.203503,0.253077,0.234527,0.250327,0.227924,0.00678626,0.234060857142857,0.0289935706586687
"3234916_NF_EG_23_40_S38_L001_R1_001_trim",0.332038,0.33559,0.319873,0.362116,0.343678,0.373153,0.328577,0.00947624,0.342146428571429,0.0276964457573512
"3234917_NF_EG_23_56_S49_L001_R1_001_trim",0.272559,0.272862,0.246636,0.3105,0.284812,0.318249,0.263101,0.00841905,0.281245571428571,0.0299348713554347
"3234918_NF_EG_23_78_S61_L001_R1_001_trim",0.328685,0.322438,0.304696,0.386803,0.346574,0.392864,0.34233,0.00882405,0.346341428571429,0.0254778934082388
"3234919_NF_EG_23_94_S73_L001_R1_001_trim",0.232434,0.220705,0.203052,0.25594,0.22976,0.257621,0.231305,0.00862132,0.232973857142857,0.0370055254513535
"3234920_NF_EG_23_106_S84_L001_R1_001_trim",0.311065,0.311049,0.293768,0.336912,0.304125,0.336523,0.302888,0.0113751,0.313761428571429,0.0362539782273156
"3234921_NF_EG_23_3_S3_L001_R1_001_trim",0.43077,0.442455,0.417481,0.497546,0.437696,0.500766,0.456151,0.0125307,0.454695,0.0275584732622967
"3234922_NF_EG_23_16_S15_L001_R1_001_trim",0.33701,0.335721,0.305426,0.369318,0.329091,0.378197,0.332351,0.0116446,0.341016285714286,0.0341467562923262
"3234923_NF_EG_23_29_S27_L001_R1_001_trim",0.368882,0.366949,0.342896,0.418943,0.369269,0.413647,0.363452,0.0110399,0.377719714285714,0.0292277569384404
"3234924_NF_EG_23_41_S39_L001_R1_001_trim",0.308067,0.308152,0.291968,0.340881,0.310541,0.356752,0.303171,0.0107976,0.317076,0.0340536653672936
"3234925_NF_EG_23_58_S50_L001_R1_001_trim",0.284135,0.287056,0.260431,0.312348,0.269866,0.331126,0.268048,0.00920112,0.287572857142857,0.0319957874029438
"3234926_NF_EG_23_79_S62_L001_R1_001_trim",0.220126,0.213116,0.201804,0.249984,0.223209,0.250662,0.231329,0.00648391,0.227175714285714,0.0285413870949485
"3234927_NF_EG_23_95_S74_L001_R1_001_trim",0.296622,0.302817,0.284034,0.332987,0.318352,0.339351,0.303279,0.00850936,0.311063142857143,0.0273557320929788
"3234928_NF_EG_23_107_S85_L001_R1_001_trim",0.334461,0.343244,0.325155,0.38239,0.339805,0.410253,0.349257,0.0109873,0.354937857142857,0.0309555596251255
"3234929_NF_EG_23_4_S4_L001_R1_001_trim",0.297271,0.303309,0.279581,0.334253,0.295121,0.352487,0.300249,0.0107434,0.308895857142857,0.0347800067614096
"3234930_NF_EG_23_17_S16_L001_R1_001_trim",0.320487,0.323867,0.30164,0.355458,0.322736,0.376818,0.324029,0.00943969,0.332147857142857,0.0284201442128828
"3234931_NF_EG_23_30_S28_L001_R1_001_trim",0.322295,0.326122,0.306611,0.355602,0.32183,0.377201,0.323062,0.00982235,0.333246142857143,0.0294747597550159
"3234932_NF_EG_23_43_S40_L001_R1_001_trim",0.284493,0.282098,0.259927,0.311133,0.276452,0.321763,0.276281,0.0100714,0.287449571428571,0.0350371021600311
"3234933_NF_EG_23_59_S51_L001_R1_001_trim",0.23323,0.231007,0.205022,0.257312,0.231901,0.266031,0.228012,0.00822819,0.236073571428571,0.0348543462540431
"3234934_NF_EG_23_82_S63_L001_R1_001_trim",0.253795,0.254284,0.240324,0.291718,0.253717,0.305864,0.259065,0.00866298,0.265538142857143,0.0326242396169073
"3234935_NF_EG_23_96_S75_L001_R1_001_trim",0.217699,0.212266,0.2012,0.243663,0.230493,0.253661,0.216085,0.00561712,0.225009571428571,0.0249639158207238
"3234936_NF_EG_23_108_S86_L001_R1_001_trim",0.302353,0.29428,0.266175,0.319158,0.298453,0.33945,0.297974,0.00910126,0.302549,0.0300819371407607
"3234937_NF_EG_23_5_S5_L001_R1_001_trim",0.246637,0.248307,0.227133,0.278389,0.243211,0.283381,0.251591,0.00877191,0.254092714285714,0.034522477453393
"3234938_NF_EG_23_18_S17_L001_R1_001_trim",0.245093,0.244096,0.218686,0.277641,0.255324,0.281766,0.247866,0.0085906,0.252924571428571,0.0339650669426006
"3234939_NF_EG_23_31_S29_L001_R1_001_trim",0.257326,0.265859,0.245017,0.292661,0.269087,0.307848,0.269472,0.00827893,0.272467142857143,0.0303850582245828
"3234940_NF_EG_23_44_S41_L001_R1_001_trim",0.267969,0.262604,0.244165,0.300997,0.258801,0.310277,0.26796,0.0107087,0.273253285714286,0.0391896476999623
"3234941_NF_EG_23_60_S52_L001_R1_001_trim",0.245388,0.248084,0.228507,0.274987,0.250967,0.289286,0.256148,0.00974623,0.256195285714286,0.0380421910294993
"3234942_NF_EG_23_83_S64_L001_R1_001_trim",0.40815,0.419967,0.376299,0.438861,0.396223,0.468163,0.406833,0.0117391,0.416356571428571,0.0281948233931356
"3234943_NF_EG_23_97_S76_L001_R1_001_trim",0.35561,0.362924,0.318214,0.401089,0.346268,0.407871,0.357169,0.0138321,0.364163571428571,0.0379832061338213
"3234944_NF_EG_23_109_S87_L001_R1_001_trim",0.39644,0.41639,0.381297,0.463476,0.41426,0.482917,0.434324,0.0100507,0.427014857142857,0.0235371201537317
"3234945_NF_EG_23_6_S6_L001_R1_001_trim",0.268851,0.263347,0.241481,0.291108,0.273481,0.304853,0.268234,0.0106735,0.273050714285714,0.0390898080157794
"3234946_NF_EG_23_19_S18_L001_R1_001_trim",0.270117,0.279875,0.248577,0.300558,0.271629,0.314622,0.271717,0.00894578,0.279585,0.0319966378739918
"3234947_NF_EG_23_32_S30_L001_R1_001_trim",0.278004,0.286622,0.258045,0.316051,0.282088,0.330282,0.288431,0.010623,0.291360428571429,0.036459995793134
"3234948_NF_EG_23_45_S42_L001_R1_001_trim",0.273046,0.263947,0.245896,0.303192,0.279968,0.32244,0.270061,0.00801336,0.279792857142857,0.0286403308570116
"3234949_NF_EG_23_62_S53_L001_R1_001_trim",0.269391,0.263958,0.244692,0.293855,0.263331,0.308924,0.254797,0.00790699,0.271278285714286,0.0291471541084853
"3234950_NF_EG_23_84_S65_L001_R1_001_trim",0.308686,0.306264,0.282275,0.34649,0.309672,0.361529,0.31246,0.0103744,0.318196571428571,0.032603745393683
"3234951_NF_EG_23_98_S77_L001_R1_001_trim",0.301345,0.267966,0.265678,0.314943,0.286933,0.335953,0.284663,0.00773149,0.293925857142857,0.0263042186051779
"3234952_NF_EG_23_110_S88_L001_R1_001_trim",0.269394,0.269251,0.27624,0.307926,0.277884,0.308073,0.283551,0.00907403,0.284617,0.0318815460777115
"3234953_NF_EG_23_7_S7_L001_R1_001_trim",0.287236,0.28109,0.252706,0.320721,0.288683,0.32522,0.293053,0.00941874,0.292672714285714,0.0321818179155751
"3234954_NF_EG_23_20_S19_L001_R1_001_trim",0.290138,0.293937,0.256695,0.337591,0.299896,0.343701,0.296072,0.00886502,0.302575714285714,0.0292985179624462
"3234955_NF_EG_23_33_S31_L001_R1_001_trim",0.241657,0.233096,0.216766,0.263092,0.228467,0.280052,0.236719,0.00926233,0.242835571428571,0.0381423938243926
"3234957_NF_EG_23_64_S54_L001_R1_001_trim",0.217653,0.211514,0.189545,0.240704,0.223519,0.237602,0.216352,0.00647018,0.219555571428571,0.0294694411893117
"3234958_NF_EG_23_85_S66_L001_R1_001_trim",0.394733,0.397231,0.421845,0.445275,0.400132,0.452552,0.394666,0.0109873,0.415204857142857,0.02646235902828
"3234959_NF_EG_23_99_S78_L001_R1_001_trim",0.31263,0.330363,0.300937,0.360833,0.319398,0.363185,0.32474,0.0098412,0.330298,0.0297949124729789
"3234960_NF_EG_23_111_S89_L001_R1_001_trim",0.307768,0.311301,0.273775,0.360198,0.314893,0.359881,0.303644,0.00773731,0.31878,0.0242716293368467
"3234961_NF_EG_23_8_S8_L001_R1_001_trim",0.27378,0.276606,0.262221,0.321525,0.266799,0.320105,0.278863,0.0114991,0.285699857142857,0.0402488825685697
"3234962_NF_EG_23_22_S20_L001_R1_001_trim",0.249179,0.246709,0.223475,0.27166,0.249459,0.282617,0.249076,0.00804431,0.253167857142857,0.0317746102952587
"3234963_NF_EG_23_34_S32_L001_R1_001_trim",0.263482,0.287299,0.266839,0.32476,0.294916,0.340738,0.281245,0.0096117,0.294182714285714,0.0326725518980187
"3234964_NF_EG_23_47_S43_L001_R1_001_trim",0.226566,0.222984,0.209015,0.251952,0.224889,0.250937,0.225941,0.00717939,0.230326285714286,0.0311705195858794
"3234965_NF_EG_23_66_S55_L001_R1_001_trim",0.280316,0.284237,0.256035,0.308666,0.276865,0.318388,0.286132,0.00750781,0.287234142857143,0.0261382923538238
"3234966_NF_EG_23_86_S67_L001_R1_001_trim",0.240949,0.246736,0.230302,0.288658,0.248761,0.29249,0.252275,0.00914246,0.257167285714286,0.0355506338009
"3234967_NF_EG_23_100_S79_L001_R1_001_trim",0.250335,0.250399,0.229964,0.271063,0.255401,0.275546,0.25301,0.00841626,0.255102571428571,0.0329916705773252
"3234968_NF_EG_23_112_S90_L001_R1_001_trim",0.203975,0.200418,0.180374,0.222283,0.200877,0.228085,0.204019,0.00732207,0.205718714285714,0.0355926296031127
"3234969_NF_EG_23_9_S9_L001_R1_001_trim",0.251979,0.25731,0.23576,0.29202,0.265245,0.302995,0.264701,0.0079817,0.267144285714286,0.0298778616157133
"3234970_NF_EG_23_23_S21_L001_R1_001_trim",0.200339,0.205558,0.194269,0.233836,0.205748,0.239923,0.206114,0.00523075,0.212255285714286,0.0246436736894319
"3234971_NF_EG_23_35_S33_L001_R1_001_trim",0.310917,0.304584,0.306388,0.34648,0.316465,0.347285,0.31562,0.00853334,0.321105571428571,0.0265748736841777
"3234972_NF_EG_23_48_S44_L001_R1_001_trim",0.234214,0.23953,0.217048,0.274154,0.232988,0.276658,0.231548,0.00776733,0.243734285714286,0.0318680237260717
"3234973_NF_EG_23_70_S56_L001_R1_001_trim",0.227048,0.218513,0.196982,0.244101,0.22826,0.243285,0.219758,0.006692,0.225421,0.0296866751544887
"3234974_NF_EG_23_88_S68_L001_R1_001_trim",0.254534,0.251432,0.228984,0.279077,0.262368,0.281649,0.265082,0.00760976,0.260446571428571,0.0292181231576973
"3234975_NF_EG_23_101_S80_L001_R1_001_trim",0.204346,0.209803,0.198316,0.238147,0.219614,0.248284,0.214424,0.00787301,0.218990571428571,0.0359513651598829
"3234976_NF_EG_23_113_S91_L001_R1_001_trim",0.257436,0.256612,0.222549,0.286822,0.269614,0.284748,0.240607,0.00763583,0.259769714285714,0.0293946121509821
"3234977_NF_EG_23_10_S10_L001_R1_001_trim",0.196441,0.195824,0.16873,0.211087,0.203898,0.21256,0.194718,0.00588875,0.197608285714286,0.0298001168256392
"3234978_NF_EG_23_24_S22_L001_R1_001_trim",0.238771,0.233998,0.210938,0.261496,0.233341,0.27881,0.23637,0.00848655,0.241960571428571,0.0350741029825402
"3234979_NF_EG_23_36_S34_L001_R1_001_trim",0.260594,0.25228,0.225607,0.298136,0.26035,0.299785,0.268331,0.00798217,0.266440428571429,0.0299585541233286
"3234980_NF_EG_23_49_S45_L001_R1_001_trim",0.249641,0.246716,0.214536,0.27803,0.254036,0.280178,0.244194,0.00840183,0.252475857142857,0.0332777561192555
"3234981_NF_EG_23_72_S57_L001_R1_001_trim",0.264775,0.26422,0.236705,0.288356,0.264369,0.305417,0.264054,0.00871559,0.269699428571429,0.0323159379542093
"3234982_NF_EG_23_89_S69_L001_R1_001_trim",0.243617,0.224221,0.215369,0.258113,0.244398,0.280108,0.240748,0.0066906,0.243796285714286,0.0274434041535849
"3234983_NF_EG_23_102_S81_L001_R1_001_trim",0.228749,0.219589,0.191136,0.252314,0.222036,0.270417,0.225508,0.00916364,0.229964142857143,0.0398481253909771
"3234984_NF_EG_23_114_S92_L001_R1_001_trim",0.319489,0.346209,0.300801,0.375764,0.341062,0.377144,0.330541,0.00923277,0.341572857142857,0.0270301629855166
"3234985_NF_EG_23_12_S11_L001_R1_001_trim",0.243794,0.23028,0.219392,0.271809,0.252653,0.280356,0.242939,0.00805991,0.248746142857143,0.0324021506722574
"3234986_NF_EG_23_25_S23_L001_R1_001_trim",0.293124,0.292944,0.265334,0.318147,0.293713,0.334253,0.299343,0.00908637,0.299551142857143,0.0303332843711877
"3234987_NF_EG_23_37_S35_L001_R1_001_trim",0.235018,0.238253,0.211135,0.267035,0.243379,0.282334,0.240851,0.00626768,0.245429285714286,0.025537620670487
"3234988_NF_EG_23_50_S46_L001_R1_001_trim",0.256895,0.253142,0.224929,0.284262,0.263058,0.296348,0.254108,0.00921462,0.261820285714286,0.0351944463541513
"3234989_NF_EG_23_73_S58_L001_R1_001_trim",0.284232,0.283887,0.257069,0.319451,0.282772,0.3249,0.280491,0.00926978,0.290400285714286,0.0319206986219022
"3234990_NF_EG_23_90_S70_L001_R1_001_trim",0.203778,0.205012,0.181127,0.227361,0.211233,0.231038,0.20284,0.0064469,0.208912714285714,0.0308592994066558
"3234991_NF_EG_23_103_S82_L001_R1_001_trim",0.284142,0.278198,0.264197,0.312903,0.290251,0.320423,0.296893,0.00812229,0.292429571428571,0.0277752005733249
"3234992_NF_EG_23_115_S93_L001_R1_001_trim",0.219217,0.221332,0.185685,0.242628,0.21603,0.241182,0.21158,0.00834364,0.219664857142857,0.037983499538908
"3234993_NF_EG_23_13_S12_L001_R1_001_trim",0.283219,0.302478,0.270363,0.333318,0.29986,0.341543,0.312201,0.00968176,0.306140285714286,0.0316252399693511
"3234994_NF_EG_23_26_S24_L001_R1_001_trim",0.223974,0.220608,0.187722,0.244432,0.228234,0.243872,0.217768,0.00751665,0.223801428571429,0.0335862467365841
"3234995_NF_EG_23_38_S36_L001_R1_001_trim",0.27801,0.280573,0.251947,0.311103,0.289332,0.330816,0.286472,0.0100928,0.289750428571429,0.0348327353638821
"3234996_NF_EG_23_51_S47_L001_R1_001_trim",0.279977,0.262821,0.272291,0.300242,0.283986,0.321114,0.279776,0.00852403,0.285743857142857,0.0298310174896898
"3234997_NF_EG_23_76_S59_L001_R1_001_trim",0.264812,0.263835,0.252934,0.301236,0.279616,0.318917,0.273598,0.00958819,0.279278285714286,0.0343320282687826
"3234998_Lo7_S71_L001_R1_001_trim",0.389635,0.36753,0.340965,0.42292,0.376212,0.415312,0.354483,0.000414307,0.381008142857143,0.00108739670730697
"3235001_NF_EG_23_117_S94_L001_R1_001_trim",0.290075,0.257798,0.252709,0.318825,0.284513,0.308012,0.283723,0.00775942,0.285093571428571,0.0272170991478988
"3235002_NF_EG_23_129_S106_L001_R1_001_trim",0.26891,0.258511,0.239502,0.309072,0.267116,0.306815,0.269589,0.00701018,0.274216428571429,0.0255644055920376
"3235003_NF_EG_23_141_S117_L001_R1_001_trim",0.407348,0.403968,0.383899,0.449423,0.380876,0.461507,0.408515,0.00989124,0.413648,0.0239122152168027
"3235004_NF_EG_23_153_S129_L001_R1_001_trim",0.323286,0.333529,0.292346,0.355816,0.331066,0.383873,0.313858,0.00861108,0.333396285714286,0.0258283621293236
"3235005_NF_EG_23_166_S141_L001_R1_001_trim",0.324256,0.327079,0.311698,0.359179,0.329862,0.374386,0.325968,0.0130253,0.336061142857143,0.0387587207770015
"3235006_NF_EG_23_179_S153_L001_R1_001_trim",0.488977,0.485697,0.498108,0.574854,0.514593,0.590815,0.502326,0.0118548,0.522195714285714,0.0227018331933566
"3235007_NF_EG_23_191_S165_L001_R1_001_trim",0.321084,0.309035,0.306615,0.354003,0.308726,0.376213,0.317991,0.0116199,0.327666714285714,0.0354625584271823
"3235008_NF_EG_23_295_S176_L001_R1_001_trim",0.290615,0.295464,0.257412,0.333323,0.325609,0.340785,0.295506,0.00891529,0.305530571428571,0.0291796986413331
"3235009_NF_EG_23_118_S95_L001_R1_001_trim",0.187391,0.187204,0.16616,0.207295,0.202244,0.218787,0.18477,0.00550191,0.193407285714286,0.0284472737398724
"3235010_NF_EG_23_130_S107_L001_R1_001_trim",0.175984,0.175732,0.153599,0.187892,0.1703,0.192576,0.18183,0.00455086,0.176844714285714,0.0257336501030363
"3235011_NF_EG_23_142_S118_L001_R1_001_trim",0.20324,0.211717,0.193935,0.234643,0.22447,0.261592,0.215246,0.00849912,0.220691857142857,0.0385112532470937
